"","Date","Datetime.x","Flux","Std_err","Flow_Avg","VWC_Avg","EC_Avg","T_Avg","VaporPress_Avg","AirTemp_Avg","RH_Avg","AtmPress_Avg","DrumTemp_Avg","DiffPress_Avg","Rain_Tot","Datetime.y","DiffPress_Slope","DiffPress_Diff"
"1",2021-07-07 12:00:00,"07/07/2021 12:00",8609.13,429,0.93,0.02,0,20,1.71,20.07,72.91,1016,20.13,1.09,0,"07/07/2021 12:00",-0.75,-1.038
"2",2021-07-07 15:00:00,"07/07/2021 15:00",6564.56,298,0.93,0.02,0,20.02,1.7,20.1,72.34,1017,20.17,0.88,0,"07/07/2021 15:00",-0.81,-1.563
"3",2021-07-07 18:00:00,"07/07/2021 18:00",6830.9,214,0.92,0.02,0,20.02,1.7,20.1,72.33,1018,20.18,0.68,0,"07/07/2021 18:00",0.51,0.3
"4",2021-07-07 21:00:00,"07/07/2021 21:00",6689.89,199,0.93,0.02,0,20.01,1.7,20.1,72.22,1019,20.16,0.67,0,"07/07/2021 21:00",-1.08,-1.318
"5",2021-07-08 00:00:00,"08/07/2021 00:00",6823.07,161,0.92,0.02,0,19.99,1.69,20.1,72.09,1020,20.14,0.63,0,"08/07/2021 00:00",-0.95,-0.59
"6",2021-07-08 03:00:00,"08/07/2021 03:00",6705.56,151,0.92,0.02,0,19.97,1.69,20,72.2,1019.86,20.11,0.74,0,"08/07/2021 03:00",0.12,0.338
"7",2021-07-08 06:00:00,"08/07/2021 06:00",6486.22,130,0.92,0.02,0,19.95,1.69,20,72.33,1020.43,20.09,0.68,0,"08/07/2021 06:00",-0.44,-0.481
"8",2021-07-08 09:00:00,"08/07/2021 09:00",7175.58,169,0.93,0.02,0,20.05,1.7,20.08,72.32,1021,20.24,0.98,0,"08/07/2021 09:00",-1.22,-1.633
"9",2021-07-08 12:00:00,"08/07/2021 12:00",6893.57,320,0.93,0.02,0,19.97,1.69,20,71.92,1022,20.1,1.06,0,"08/07/2021 12:00",0.5,-0.139
"10",2021-07-08 15:00:00,"08/07/2021 15:00",7144.24,365,0.92,0.02,0,20.01,1.68,20.09,71.53,1021,20.17,0.81,0,"08/07/2021 15:00",0.13,-1.026
"11",2021-07-08 18:00:00,"08/07/2021 18:00",6795.65,167,0.92,0.02,0,19.99,1.67,20.1,70.93,1021,20.13,1.19,0,"08/07/2021 18:00",0.42,0.819
"12",2021-07-08 21:00:00,"08/07/2021 21:00",6650.73,61,0.92,0.02,0,19.98,1.66,20.1,70.62,1021.14,20.12,0.92,0,"08/07/2021 21:00",-0.4,-0.862
"13",2021-07-09 00:00:00,"09/07/2021 00:00",6666.39,219,0.92,0.02,0,19.98,1.66,20.1,70.85,1021,20.12,1.21,0,"09/07/2021 00:00",-0.32,-1.28
"14",2021-07-09 03:00:00,"09/07/2021 03:00",6470.55,267,0.92,0.02,0,19.98,1.67,20.1,71.1,1019.29,20.12,1.23,0,"09/07/2021 03:00",-0.7,-0.657
"15",2021-07-09 06:00:00,"09/07/2021 06:00",6964.07,209,0.92,0.02,0,19.97,1.66,20.04,70.96,1019,20.12,1.21,0,"09/07/2021 06:00",0.54,-0.266
"16",2021-07-09 09:00:00,"09/07/2021 09:00",6650.73,176,0.92,0.02,0,20,1.67,20.1,70.84,1018.71,20.16,1.26,0,"09/07/2021 09:00",-0.01,0.254
"17",2021-07-09 12:00:00,"09/07/2021 12:00",6850.48,183,0.92,0.02,0,20.06,1.68,20.18,70.98,1017.86,20.22,0.97,0,"09/07/2021 12:00",0.29,0.895
"18",2021-07-09 15:00:00,"09/07/2021 15:00",6564.56,62,0.92,0.02,0,20.07,1.68,20.2,71.2,1017,20.22,1.06,0,"09/07/2021 15:00",-0.01,-0.492
"19",2021-07-09 18:00:00,"09/07/2021 18:00",6846.57,155,0.92,0.02,0,20.07,1.68,20.2,71.28,1016.43,20.23,1.16,0,"09/07/2021 18:00",0.01,-0.044
"20",2021-07-09 21:00:00,"09/07/2021 21:00",6682.06,58,0.92,0.02,0,20.09,1.69,20.2,71.6,1017,20.24,1.07,0,"09/07/2021 21:00",-1.21,-0.847
"21",2021-07-10 00:00:00,"10/07/2021 00:00",6384.38,242,0.92,0.02,0,20.09,1.7,20.2,71.89,1015.71,20.24,1.14,0,"10/07/2021 00:00",-0.73,-0.673
"22",2021-07-10 03:00:00,"10/07/2021 03:00",6964.07,229,0.91,0.02,0,20.06,1.71,20.12,72.29,1014,20.21,0.87,0,"10/07/2021 03:00",-0.91,-1.159
"23",2021-07-10 06:00:00,"10/07/2021 06:00",6881.82,250,0.91,0.02,0,20.05,1.7,20.1,72.18,1014.71,20.19,1.08,0,"10/07/2021 06:00",0.48,0.767
"24",2021-07-10 09:00:00,"10/07/2021 09:00",6838.73,280,0.91,0.02,0,20.07,1.7,20.16,72.1,1015,20.22,1.03,0,"10/07/2021 09:00",-0.17,0.023
"25",2021-07-10 12:00:00,"10/07/2021 12:00",6635.06,210,0.91,0.02,0,20.09,1.71,20.2,72.4,1015.43,20.25,1.02,0,"10/07/2021 12:00",0.86,1.375
"26",2021-07-10 15:00:00,"10/07/2021 15:00",6979.74,234,0.92,0.02,0,20.11,1.72,20.2,72.41,1015,20.26,1.06,0,"10/07/2021 15:00",-0.43,0.04
"27",2021-07-10 18:00:00,"10/07/2021 18:00",6572.39,163,0.91,0.02,0,20.12,1.72,20.2,72.5,1015,20.27,0.98,0,"10/07/2021 18:00",-1,-0.697
"28",2021-07-10 21:00:00,"10/07/2021 21:00",6877.9,220,0.91,0.02,0,20.14,1.72,20.2,72.5,1016,20.29,1.1,0,"10/07/2021 21:00",0.32,0.272
"29",2021-07-11 00:00:00,"11/07/2021 00:00",6736.9,263,0.91,0.03,0,20.15,1.73,20.28,72.78,1014.14,20.3,1.14,0,"11/07/2021 00:00",-0.31,-0.39
"30",2021-07-11 03:00:00,"11/07/2021 03:00",6666.39,173,0.91,0.02,0,20.15,1.74,20.24,73.12,1011.43,20.29,0.89,0,"11/07/2021 03:00",-0.54,-0.57
"31",2021-07-11 06:00:00,"11/07/2021 06:00",6407.88,209,0.9,0.02,0,20.15,1.73,20.2,73.01,1010,20.29,1.02,0,"11/07/2021 06:00",-0.35,-0.717
"32",2021-07-11 09:00:00,"11/07/2021 09:00",6666.39,34,0.9,0.02,0,20.19,1.73,20.3,72.73,1009,20.34,0.95,0,"11/07/2021 09:00",0.1,-0.287
"33",2021-07-11 12:00:00,"11/07/2021 12:00",6689.89,165,0.9,0.02,0,20.22,1.74,20.3,72.89,1008,20.37,1.1,0,"11/07/2021 12:00",-0.05,-0.115
"34",2021-07-11 15:00:00,"11/07/2021 15:00",6603.72,86,0.9,0.02,0,20.26,1.75,20.35,73.28,1009,20.4,1.19,0,"11/07/2021 15:00",-0.78,-0.386
"35",2021-07-11 18:00:00,"11/07/2021 18:00",6732.98,183,0.91,0.03,0,20.28,1.76,20.4,73.73,1009.71,20.43,0.67,0,"11/07/2021 18:00",-0.79,-1.48
"36",2021-07-11 21:00:00,"11/07/2021 21:00",6760.4,133,0.91,0.03,0,20.31,1.78,20.4,74.35,1010,20.45,1.15,0,"11/07/2021 21:00",0.1,0.392
"37",2021-07-12 00:00:00,"12/07/2021 00:00",6917.07,93,0.91,0.03,0,20.32,1.8,20.4,75.1,1011,20.46,0.97,0,"12/07/2021 00:00",-0.05,-0.491
"38",2021-07-12 03:00:00,"12/07/2021 03:00",6572.39,115,0.91,0.03,0,20.24,1.76,20.3,74.05,1011,20.38,0.74,0,"12/07/2021 03:00",-1.01,-0.83
"39",2021-07-12 06:00:00,"12/07/2021 06:00",6956.24,184,0.91,0.03,0,20.18,1.74,20.2,73.3,1011,20.31,1.31,0,"12/07/2021 06:00",-0.43,-0.745
