Datetime,Flux,Std_err,Flow_Avg,VWC_Avg,EC_Avg,T_Avg,VaporPress_Avg,AirTemp_Avg,RH_Avg,AtmPress_Avg,DrumTemp_Avg,DiffPress_Avg,Rain_Tot
07/07/2021 12:00,8609.13,429,0.93,0.02,0.0,20.0,1.71,20.07,72.91,1016.0,20.13,1.09,0
07/07/2021 15:00,6564.56,298,0.93,0.02,0.0,20.02,1.7,20.1,72.34,1017.0,20.17,0.88,0
07/07/2021 18:00,6830.9,214,0.92,0.02,0.0,20.02,1.7,20.1,72.33,1018.0,20.18,0.68,0
07/07/2021 21:00,6689.89,199,0.93,0.02,0.0,20.01,1.7,20.1,72.22,1019.0,20.16,0.67,0
08/07/2021 00:00,6823.07,161,0.92,0.02,0.0,19.99,1.69,20.1,72.09,1020.0,20.14,0.63,0
08/07/2021 03:00,6705.56,151,0.92,0.02,0.0,19.97,1.69,20.0,72.2,1019.86,20.11,0.74,0
08/07/2021 06:00,6486.22,130,0.92,0.02,0.0,19.95,1.69,20.0,72.33,1020.43,20.09,0.68,0
08/07/2021 09:00,7175.58,169,0.93,0.02,0.0,20.05,1.7,20.08,72.32,1021.0,20.24,0.98,0
08/07/2021 12:00,6893.57,320,0.93,0.02,0.0,19.97,1.69,20.0,71.92,1022.0,20.1,1.06,0
08/07/2021 15:00,7144.24,365,0.92,0.02,0.0,20.01,1.68,20.09,71.53,1021.0,20.17,0.81,0
08/07/2021 18:00,6795.65,167,0.92,0.02,0.0,19.99,1.67,20.1,70.93,1021.0,20.13,1.19,0
08/07/2021 21:00,6650.73,61,0.92,0.02,0.0,19.98,1.66,20.1,70.62,1021.14,20.12,0.92,0
09/07/2021 00:00,6666.39,219,0.92,0.02,0.0,19.98,1.66,20.1,70.85,1021.0,20.12,1.21,0
09/07/2021 03:00,6470.55,267,0.92,0.02,0.0,19.98,1.67,20.1,71.1,1019.29,20.12,1.23,0
09/07/2021 06:00,6964.07,209,0.92,0.02,0.0,19.97,1.66,20.04,70.96,1019.0,20.12,1.21,0
09/07/2021 09:00,6650.73,176,0.92,0.02,0.0,20.0,1.67,20.1,70.84,1018.71,20.16,1.26,0
09/07/2021 12:00,6850.48,183,0.92,0.02,0.0,20.06,1.68,20.18,70.98,1017.86,20.22,0.97,0
09/07/2021 15:00,6564.56,62,0.92,0.02,0.0,20.07,1.68,20.2,71.2,1017.0,20.22,1.06,0
09/07/2021 18:00,6846.57,155,0.92,0.02,0.0,20.07,1.68,20.2,71.28,1016.43,20.23,1.16,0
09/07/2021 21:00,6682.06,58,0.92,0.02,0.0,20.09,1.69,20.2,71.6,1017.0,20.24,1.07,0
10/07/2021 00:00,6384.38,242,0.92,0.02,0.0,20.09,1.7,20.2,71.89,1015.71,20.24,1.14,0
10/07/2021 03:00,6964.07,229,0.91,0.02,0.0,20.06,1.71,20.12,72.29,1014.0,20.21,0.87,0
10/07/2021 06:00,6881.82,250,0.91,0.02,0.0,20.05,1.7,20.1,72.18,1014.71,20.19,1.08,0
10/07/2021 09:00,6838.73,280,0.91,0.02,0.0,20.07,1.7,20.16,72.1,1015.0,20.22,1.03,0
10/07/2021 12:00,6635.06,210,0.91,0.02,0.0,20.09,1.71,20.2,72.4,1015.43,20.25,1.02,0
10/07/2021 15:00,6979.74,234,0.92,0.02,0.0,20.11,1.72,20.2,72.41,1015.0,20.26,1.06,0
10/07/2021 18:00,6572.39,163,0.91,0.02,0.0,20.12,1.72,20.2,72.5,1015.0,20.27,0.98,0
10/07/2021 21:00,6877.9,220,0.91,0.02,0.0,20.14,1.72,20.2,72.5,1016.0,20.29,1.1,0
11/07/2021 00:00,6736.9,263,0.91,0.03,0.0,20.15,1.73,20.28,72.78,1014.14,20.3,1.14,0
11/07/2021 03:00,6666.39,173,0.91,0.02,0.0,20.15,1.74,20.24,73.12,1011.43,20.29,0.89,0
11/07/2021 06:00,6407.88,209,0.9,0.02,0.0,20.15,1.73,20.2,73.01,1010.0,20.29,1.02,0
11/07/2021 09:00,6666.39,34,0.9,0.02,0.0,20.19,1.73,20.3,72.73,1009.0,20.34,0.95,0
11/07/2021 12:00,6689.89,165,0.9,0.02,0.0,20.22,1.74,20.3,72.89,1008.0,20.37,1.1,0
11/07/2021 15:00,6603.72,86,0.9,0.02,0.0,20.26,1.75,20.35,73.28,1009.0,20.4,1.19,0
11/07/2021 18:00,6732.98,183,0.91,0.03,0.0,20.28,1.76,20.4,73.73,1009.71,20.43,0.67,0
11/07/2021 21:00,6760.4,133,0.91,0.03,0.0,20.31,1.78,20.4,74.35,1010.0,20.45,1.15,0
12/07/2021 00:00,6917.07,93,0.91,0.03,0.0,20.32,1.8,20.4,75.1,1011.0,20.46,0.97,0
12/07/2021 03:00,6572.39,115,0.91,0.03,0.0,20.24,1.76,20.3,74.05,1011.0,20.38,0.74,0
12/07/2021 06:00,6956.24,184,0.91,0.03,0.0,20.18,1.74,20.2,73.3,1011.0,20.31,1.31,0
