date,Conc,Flux_ini,Flux_corrected
23/10/2021 16:10,4469,186.2083333,10.32
24/10/2021 0:10,680,102,10.07
24/10/2021 8:10,439,65.85,4.76
24/10/2021 16:10,1020,153,13.85
25/10/2021 0:10,1020,153,5.33
25/10/2021 8:10,1020,153,10.07
25/10/2021 16:10,1020,153,14.096
26/10/2021 0:10,666,99.9,8.61
26/10/2021 8:10,1360,204,18.14
26/10/2021 16:10,793,118.95,6.78
27/10/2021 0:10,1006,150.9,12.59
27/10/2021 8:10,793,118.95,8.38
27/10/2021 16:10,1070,160.5,18.49
28/10/2021 0:10,1020,153,10.32
28/10/2021 8:10,907,136.05,16.6
28/10/2021 16:10,907,136.05,13.015
