"","Datetime","AirTemp_Avg","date"
"1","2021-10-23 12",15.924,2021-10-23 11:00:00
"2","2021-10-23 13",20.175,2021-10-23 12:00:00
"3","2021-10-23 14",23.9433333333333,2021-10-23 13:00:00
"4","2021-10-23 15",23.4716666666667,2021-10-23 14:00:00
"5","2021-10-23 16",20.8916666666667,2021-10-23 15:00:00
"6","2021-10-23 17",13.5633333333333,2021-10-23 16:00:00
"7","2021-10-23 18",10.6216666666667,2021-10-23 17:00:00
"8","2021-10-23 19",9.41833333333333,2021-10-23 18:00:00
"9","2021-10-23 20",8.53333333333333,2021-10-23 19:00:00
"10","2021-10-23 21",7.9935,2021-10-23 20:00:00
"11","2021-10-23 22",7.72366666666667,2021-10-23 21:00:00
"12","2021-10-23 23",7.53383333333333,2021-10-23 22:00:00
"13","2021-10-24 00",7.10866666666667,2021-10-23 23:00:00
"14","2021-10-24 01",6.538,2021-10-24 00:00:00
"15","2021-10-24 02",6.6375,2021-10-24 01:00:00
"16","2021-10-24 03",6.93766666666667,2021-10-24 02:00:00
"17","2021-10-24 04",7.52633333333333,2021-10-24 03:00:00
"18","2021-10-24 05",6.73516666666667,2021-10-24 04:00:00
"19","2021-10-24 06",6.09633333333333,2021-10-24 05:00:00
"20","2021-10-24 07",6.15166666666667,2021-10-24 06:00:00
"21","2021-10-24 08",8.62283333333333,2021-10-24 07:00:00
"22","2021-10-24 09",18.1683333333333,2021-10-24 08:00:00
"23","2021-10-24 10",18.6066666666667,2021-10-24 09:00:00
"24","2021-10-24 11",18.1766666666667,2021-10-24 10:00:00
"25","2021-10-24 12",18.3216666666667,2021-10-24 11:00:00
"26","2021-10-24 13",21.4116666666667,2021-10-24 12:00:00
"27","2021-10-24 14",24.21,2021-10-24 13:00:00
"28","2021-10-24 15",22.8966666666667,2021-10-24 14:00:00
"29","2021-10-24 16",20.065,2021-10-24 15:00:00
"30","2021-10-24 17",14.7283333333333,2021-10-24 16:00:00
"31","2021-10-24 18",11.425,2021-10-24 17:00:00
"32","2021-10-24 19",10.3816666666667,2021-10-24 18:00:00
"33","2021-10-24 20",9.75166666666667,2021-10-24 19:00:00
"34","2021-10-24 21",9.85,2021-10-24 20:00:00
"35","2021-10-24 22",10.52,2021-10-24 21:00:00
"36","2021-10-24 23",10.4116666666667,2021-10-24 22:00:00
"37","2021-10-25 00",9.97166666666667,2021-10-24 23:00:00
"38","2021-10-25 01",10.3266666666667,2021-10-25 00:00:00
"39","2021-10-25 02",11.0833333333333,2021-10-25 01:00:00
"40","2021-10-25 03",11.405,2021-10-25 02:00:00
"41","2021-10-25 04",11.545,2021-10-25 03:00:00
"42","2021-10-25 05",10.8283333333333,2021-10-25 04:00:00
"43","2021-10-25 06",10.0683333333333,2021-10-25 05:00:00
"44","2021-10-25 07",9.775,2021-10-25 06:00:00
"45","2021-10-25 08",11.935,2021-10-25 07:00:00
"46","2021-10-25 09",16.1966666666667,2021-10-25 08:00:00
"47","2021-10-25 10",18.1433333333333,2021-10-25 09:00:00
"48","2021-10-25 11",18.0783333333333,2021-10-25 10:00:00
"49","2021-10-25 12",18.6466666666667,2021-10-25 11:00:00
"50","2021-10-25 13",18.4466666666667,2021-10-25 12:00:00
"51","2021-10-25 14",19.3416666666667,2021-10-25 13:00:00
"52","2021-10-25 15",17.1966666666667,2021-10-25 14:00:00
"53","2021-10-25 16",16.155,2021-10-25 15:00:00
"54","2021-10-25 17",14.385,2021-10-25 16:00:00
"55","2021-10-25 18",12.1983333333333,2021-10-25 17:00:00
"56","2021-10-25 19",11.3066666666667,2021-10-25 18:00:00
"57","2021-10-25 20",11.22,2021-10-25 19:00:00
"58","2021-10-25 21",11.7,2021-10-25 20:00:00
"59","2021-10-25 22",11.1533333333333,2021-10-25 21:00:00
"60","2021-10-25 23",9.405,2021-10-25 22:00:00
"61","2021-10-26 00",8.71833333333333,2021-10-25 23:00:00
"62","2021-10-26 01",8.18716666666667,2021-10-26 00:00:00
"63","2021-10-26 02",8.02133333333333,2021-10-26 01:00:00
"64","2021-10-26 03",7.77933333333333,2021-10-26 02:00:00
"65","2021-10-26 04",7.44333333333333,2021-10-26 03:00:00
"66","2021-10-26 05",6.91783333333333,2021-10-26 04:00:00
"67","2021-10-26 06",6.65166666666667,2021-10-26 05:00:00
"68","2021-10-26 07",6.653,2021-10-26 06:00:00
"69","2021-10-26 08",8.662,2021-10-26 07:00:00
"70","2021-10-26 09",17.685,2021-10-26 08:00:00
"71","2021-10-26 10",18.1666666666667,2021-10-26 09:00:00
"72","2021-10-26 11",17.7233333333333,2021-10-26 10:00:00
"73","2021-10-26 12",17.9916666666667,2021-10-26 11:00:00
"74","2021-10-26 13",21.265,2021-10-26 12:00:00
"75","2021-10-26 14",24.3483333333333,2021-10-26 13:00:00
"76","2021-10-26 15",23.215,2021-10-26 14:00:00
"77","2021-10-26 16",19.44,2021-10-26 15:00:00
"78","2021-10-26 17",14.285,2021-10-26 16:00:00
"79","2021-10-26 18",11.5266666666667,2021-10-26 17:00:00
"80","2021-10-26 19",10.765,2021-10-26 18:00:00
"81","2021-10-26 20",10.1183333333333,2021-10-26 19:00:00
"82","2021-10-26 21",9.29166666666667,2021-10-26 20:00:00
"83","2021-10-26 22",8.82666666666667,2021-10-26 21:00:00
"84","2021-10-26 23",8.615,2021-10-26 22:00:00
"85","2021-10-27 00",8.12766666666667,2021-10-26 23:00:00
"86","2021-10-27 01",7.76766666666667,2021-10-27 00:00:00
"87","2021-10-27 02",7.45916666666667,2021-10-27 01:00:00
"88","2021-10-27 03",7.01966666666667,2021-10-27 02:00:00
"89","2021-10-27 04",6.81383333333333,2021-10-27 03:00:00
"90","2021-10-27 05",6.284,2021-10-27 04:00:00
"91","2021-10-27 06",5.891,2021-10-27 05:00:00
"92","2021-10-27 07",6.07616666666667,2021-10-27 06:00:00
"93","2021-10-27 08",8.10233333333333,2021-10-27 07:00:00
"94","2021-10-27 09",18.3666666666667,2021-10-27 08:00:00
"95","2021-10-27 10",19.15,2021-10-27 09:00:00
"96","2021-10-27 11",19.0716666666667,2021-10-27 10:00:00
"97","2021-10-27 12",19.24,2021-10-27 11:00:00
"98","2021-10-27 13",22.2633333333333,2021-10-27 12:00:00
"99","2021-10-27 14",24.4683333333333,2021-10-27 13:00:00
"100","2021-10-27 15",24.2416666666667,2021-10-27 14:00:00
"101","2021-10-27 16",20.305,2021-10-27 15:00:00
"102","2021-10-27 17",14.7716666666667,2021-10-27 16:00:00
"103","2021-10-27 18",11.6966666666667,2021-10-27 17:00:00
"104","2021-10-27 19",10.15,2021-10-27 18:00:00
"105","2021-10-27 20",9.32833333333333,2021-10-27 19:00:00
"106","2021-10-27 21",9,2021-10-27 20:00:00
"107","2021-10-27 22",8.53333333333333,2021-10-27 21:00:00
"108","2021-10-27 23",8.22666666666667,2021-10-27 22:00:00
"109","2021-10-28 00",7.53133333333333,2021-10-27 23:00:00
"110","2021-10-28 01",7.65916666666667,2021-10-28 00:00:00
"111","2021-10-28 02",7.85266666666667,2021-10-28 01:00:00
"112","2021-10-28 03",7.41216666666667,2021-10-28 02:00:00
"113","2021-10-28 04",9.31,2021-10-28 03:00:00
"114","2021-10-28 05",11.34,2021-10-28 04:00:00
"115","2021-10-28 06",13.395,2021-10-28 05:00:00
"116","2021-10-28 07",13.4316666666667,2021-10-28 06:00:00
"117","2021-10-28 08",14.9816666666667,2021-10-28 07:00:00
"118","2021-10-28 09",19.1966666666667,2021-10-28 08:00:00
"119","2021-10-28 10",18.7483333333333,2021-10-28 09:00:00
"120","2021-10-28 11",19.5966666666667,2021-10-28 10:00:00
"121","2021-10-28 12",20.92,2021-10-28 11:00:00
"122","2021-10-28 13",21.9266666666667,2021-10-28 12:00:00
"123","2021-10-28 14",22.55,2021-10-28 13:00:00
